
#################################################################
#@  
#@  
#@  
####################################   2025-11-30[Nov-Sun]15-52PM 



opencloud-1  | 2025-11-30T19:44:05Z INF chaining http middleware prometheus with priority  100 host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:273 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF chaining http middleware requestid with priority  100 host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:273 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF unprotected URL: /ocm/invite-accepted host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:278 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF unprotected URL: /ocm/shares host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:278 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF unprotected URL: /ocm/notifications host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:278 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF unprotected URL: /data/tus host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:278 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z DBG 127.0.0.1:44982 - cid:42 - "v1.47.0:go" - Client connection closed: Client Closed line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:05Z INF unprotected URL: / host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:278 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z DBG 127.0.0.1:44988 - cid:43 - Client connection created line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:05Z INF unprotected URL: /.well-known/ocm host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:278 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF unprotected URL: /ocm-provider host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:278 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF http server listening at http://127.0.0.1:9280 '' '' host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:124 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z DBG setup cors middleware allow_credentials=true allowed_headers="Authorization, Origin, Content-Type, Accept, X-Requested-With, X-Request-Id, Purge, Restore" allowed_methods="GET, POST, PUT, PATCH, DELETE, OPTIONS" allowed_origins=* line=github.com/opencloud-eu/opencloud/pkg/middleware/header.go:33 service=graph
opencloud-1  | 2025-11-30T19:44:05Z DBG setup cors middleware allow_credentials=true allowed_headers="Authorization, Origin, Content-Type, Accept, X-Requested-With, X-Request-Id, Cache-Control" allowed_methods="GET, POST, PUT, PATCH, DELETE, OPTIONS" allowed_origins=* line=github.com/opencloud-eu/opencloud/pkg/middleware/header.go:33 service=thumbnails
opencloud-1  | 2025-11-30T19:44:05Z INF skipping auth check for: / host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/internal/http/interceptors/auth/auth.go:195 pkg=rhttp service=ocm traceid=f2cce29e15e1af040a1df0db73715ab0
opencloud-1  | 2025-11-30T19:44:05Z DBG serving endpoint line=github.com/opencloud-eu/opencloud/services/thumbnails/pkg/service/http/v0/service.go:72 method=GET middlewares=7 route=/thumbnails/data service=thumbnails
opencloud-1  | 2025-11-30T19:44:05Z WRN core access token not set host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/internal/http/interceptors/auth/auth.go:248 pkg=rhttp service=ocm traceid=f2cce29e15e1af040a1df0db73715ab0
opencloud-1  | 2025-11-30T19:44:05Z DBG Error reading CA error="open /var/lib/opencloud/idm/ldap.crt: no such file or directory" LDAP CACert=/var/lib/opencloud/idm/ldap.crt line=github.com/opencloud-eu/opencloud/pkg/ldap/ldap.go:28 service=graph
opencloud-1  | 2025-11-30T19:44:05Z INF skipping provider authorizer check for: / host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/internal/http/interceptors/providerauthorizer/providerauthorizer.go:83 pkg=rhttp service=ocm traceid=f2cce29e15e1af040a1df0db73715ab0
opencloud-1  | 2025-11-30T19:44:05Z DBG http routing: head= tail=/ svc= host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:248 pkg=rhttp service=ocm
