timestamp,host,ttl,time
2025-07-10 00:00:01,8.8.8.8,118,6.46
2025-07-10 00:00:01,8.8.8.8,118,6.47
2025-07-10 00:00:01,google.ca,118,6.37
2025-07-10 00:00:01,google.ca,118,6.58
2025-07-10 00:00:07,8.8.8.8,118,6.39
2025-07-10 00:00:07,8.8.8.8,118,6.22
2025-07-10 00:00:07,google.ca,118,6.75
2025-07-10 00:00:07,google.ca,118,6.36
2025-07-10 00:00:12,8.8.8.8,118,6.14
2025-07-10 00:00:12,8.8.8.8,118,6.51
2025-07-10 00:00:12,google.ca,118,6.6
2025-07-10 00:00:12,google.ca,118,6.67
2025-07-10 00:00:17,8.8.8.8,118,6.29
2025-07-10 00:00:17,8.8.8.8,118,6.32
2025-07-10 00:00:17,google.ca,118,6.27
2025-07-10 00:00:17,google.ca,118,6.99
2025-07-10 00:00:22,8.8.8.8,118,6.24
2025-07-10 00:00:22,8.8.8.8,118,6.65
2025-07-10 00:00:22,google.ca,118,6.6
2025-07-10 00:00:22,google.ca,118,6.26
2025-07-10 00:00:27,8.8.8.8,118,6.26
2025-07-10 00:00:27,8.8.8.8,118,6.57
2025-07-10 00:00:27,google.ca,118,6.38
2025-07-10 00:00:27,google.ca,118,15.4
2025-07-10 00:00:32,8.8.8.8,118,6.43
2025-07-10 00:00:32,8.8.8.8,118,6.23
2025-07-10 00:00:32,google.ca,118,6.59
2025-07-10 00:00:32,google.ca,118,6.66
2025-07-10 00:00:37,8.8.8.8,118,6.09
2025-07-10 00:00:37,8.8.8.8,118,6.18
2025-07-10 00:00:37,google.ca,118,6.76
2025-07-10 00:00:37,google.ca,118,6.76
2025-07-10 00:00:42,8.8.8.8,118,5.93
2025-07-10 00:00:42,8.8.8.8,118,6.78
2025-07-10 00:00:42,google.ca,118,7.02
2025-07-10 00:00:42,google.ca,118,6.25
2025-07-10 00:00:47,8.8.8.8,118,6.01
2025-07-10 00:00:47,8.8.8.8,118,6.76
2025-07-10 00:00:47,google.ca,118,6.9
2025-07-10 00:00:47,google.ca,118,6.43
2025-07-10 00:00:52,8.8.8.8,118,6.29
2025-07-10 00:00:52,8.8.8.8,118,6.0
2025-07-10 00:00:52,google.ca,118,6.24
2025-07-10 00:00:52,google.ca,118,7.01
2025-07-10 00:01:01,8.8.8.8,118,6.1
2025-07-10 00:01:01,8.8.8.8,118,6.48
2025-07-10 00:01:01,google.ca,118,6.44
2025-07-10 00:01:01,google.ca,118,6.27
2025-07-10 00:01:06,8.8.8.8,118,6.1
2025-07-10 00:01:06,8.8.8.8,118,6.58
2025-07-10 00:01:06,google.ca,118,6.0
2025-07-10 00:01:06,google.ca,118,6.16
2025-07-10 00:01:11,8.8.8.8,118,6.34
2025-07-10 00:01:11,8.8.8.8,118,6.44
2025-07-10 00:01:11,google.ca,118,6.53
2025-07-10 00:01:11,google.ca,118,6.22
2025-07-10 00:01:16,8.8.8.8,118,6.17
2025-07-10 00:01:16,8.8.8.8,118,6.49
2025-07-10 00:01:16,google.ca,118,6.0
2025-07-10 00:01:16,google.ca,118,6.08
2025-07-10 00:01:21,8.8.8.8,118,6.18
2025-07-10 00:01:21,8.8.8.8,118,6.08
2025-07-10 00:01:21,google.ca,118,6.45
2025-07-10 00:01:21,google.ca,118,6.29
2025-07-10 00:01:26,8.8.8.8,118,6.33
2025-07-10 00:01:26,8.8.8.8,118,6.83
2025-07-10 00:01:26,google.ca,118,6.54
2025-07-10 00:01:26,google.ca,118,6.85
2025-07-10 00:01:31,8.8.8.8,118,6.38
2025-07-10 00:01:31,8.8.8.8,118,6.52
2025-07-10 00:01:31,google.ca,118,6.49
2025-07-10 00:01:31,google.ca,118,6.23
2025-07-10 00:02:01,8.8.8.8,119,6.99
2025-07-10 00:02:01,8.8.8.8,119,7.69
2025-07-10 00:02:01,google.ca,118,7.37
2025-07-10 00:02:01,google.ca,118,7.63
2025-07-10 00:02:06,8.8.8.8,119,7.19
