timestamp,host,ttl,time
2025-07-09 00:00:01,8.8.8.8,118,6.25
2025-07-09 00:00:01,8.8.8.8,118,6.55
2025-07-09 00:00:01,google.ca,118,6.21
2025-07-09 00:00:01,google.ca,118,6.62
2025-07-09 00:00:06,8.8.8.8,118,6.14
2025-07-09 00:00:06,8.8.8.8,118,6.33
2025-07-09 00:00:06,google.ca,118,6.0
2025-07-09 00:00:06,google.ca,118,6.11
2025-07-09 00:00:11,8.8.8.8,118,6.52
2025-07-09 00:00:11,8.8.8.8,118,6.21
2025-07-09 00:00:11,google.ca,118,6.11
2025-07-09 00:00:11,google.ca,118,6.5
2025-07-09 00:00:16,8.8.8.8,118,6.46
2025-07-09 00:00:16,8.8.8.8,118,6.45
2025-07-09 00:00:16,google.ca,118,6.36
2025-07-09 00:00:16,google.ca,118,6.16
2025-07-09 00:00:21,8.8.8.8,118,6.46
2025-07-09 00:00:21,8.8.8.8,118,6.48
2025-07-09 00:00:21,google.ca,118,6.31
2025-07-09 00:00:21,google.ca,118,6.36
2025-07-09 00:00:26,8.8.8.8,118,6.56
2025-07-09 00:00:26,8.8.8.8,118,6.32
2025-07-09 00:00:26,google.ca,118,6.47
2025-07-09 00:00:26,google.ca,118,6.42
2025-07-09 00:00:31,8.8.8.8,118,6.53
2025-07-09 00:00:31,8.8.8.8,118,5.98
2025-07-09 00:00:31,google.ca,118,6.21
2025-07-09 00:00:31,google.ca,118,6.47
2025-07-09 00:00:36,8.8.8.8,118,6.35
2025-07-09 00:00:36,8.8.8.8,118,6.51
2025-07-09 00:00:36,google.ca,118,6.31
2025-07-09 00:00:36,google.ca,118,6.19
2025-07-09 00:00:41,8.8.8.8,118,6.36
2025-07-09 00:00:41,8.8.8.8,118,6.42
2025-07-09 00:00:41,google.ca,118,7.14
2025-07-09 00:00:41,google.ca,118,6.26
2025-07-09 00:00:46,8.8.8.8,118,6.27
2025-07-09 00:00:46,8.8.8.8,118,6.75
2025-07-09 00:00:46,google.ca,118,6.17
2025-07-09 00:00:46,google.ca,118,6.54
2025-07-09 00:00:52,8.8.8.8,118,6.13
2025-07-09 00:00:52,8.8.8.8,118,6.7
2025-07-09 00:00:52,google.ca,118,6.16
2025-07-09 00:00:52,google.ca,118,6.66
2025-07-09 00:01:01,8.8.8.8,118,6.1
2025-07-09 00:01:01,8.8.8.8,118,6.15
2025-07-09 00:01:01,google.ca,118,6.39
2025-07-09 00:01:01,google.ca,118,6.2
2025-07-09 00:01:06,8.8.8.8,118,6.33
2025-07-09 00:01:06,8.8.8.8,118,6.6
2025-07-09 00:01:06,google.ca,118,6.25
2025-07-09 00:01:06,google.ca,118,6.24
2025-07-09 00:01:11,8.8.8.8,118,6.58
2025-07-09 00:01:11,8.8.8.8,118,6.76
2025-07-09 00:01:11,google.ca,118,6.16
2025-07-09 00:01:11,google.ca,118,6.31
2025-07-09 00:01:16,8.8.8.8,118,6.26
2025-07-09 00:01:16,8.8.8.8,118,6.43
2025-07-09 00:01:16,google.ca,118,6.38
2025-07-09 00:01:16,google.ca,118,6.5
2025-07-09 00:01:21,8.8.8.8,118,6.29
2025-07-09 00:01:21,8.8.8.8,118,6.54
2025-07-09 00:01:21,google.ca,118,6.62
2025-07-09 00:01:21,google.ca,118,6.87
2025-07-09 00:01:26,8.8.8.8,118,6.08
2025-07-09 00:01:26,8.8.8.8,118,6.23
2025-07-09 00:01:26,google.ca,118,5.91
2025-07-09 00:01:26,google.ca,118,6.7
2025-07-09 00:01:31,8.8.8.8,118,6.09
2025-07-09 00:01:31,8.8.8.8,118,6.47
2025-07-09 00:01:31,google.ca,118,6.34
2025-07-09 00:01:31,google.ca,118,6.54
2025-07-09 00:01:36,8.8.8.8,118,6.36
2025-07-09 00:01:36,8.8.8.8,118,6.68
2025-07-09 00:01:36,google.ca,118,6.48
2025-07-09 00:01:36,google.ca,118,6.12
2025-07-09 00:01:41,8.8.8.8,118,6.2
2025-07-09 00:01:41,8.8.8.8,118,6.56
2025-07-09 00:01:41,google.ca,118,6.3
2025-07-09 00:01:41,google.ca,118,6.11
2025-07-09 00:01:46,8.8.8.8,118,6.45
2025-07-09 00:01:46,8.8.8.8,118,6.26
2025-07-09 00:01:46,google.ca,118,6.37
2025-07-09 00:01:46,google.ca,118,6.1
2025-07-09 00:01:51,8.8.8.8,118,6.36
2025-07-09 00:01:51,8.8.8.8,118,6.43
2025-07-09 00:01:51,google.ca,118,6.36
2025-07-09 00:01:51,google.ca,118,6.02
2025-07-09 00:02:01,8.8.8.8,118,6.42
2025-07-09 00:02:01,8.8.8.8,118,6.49
2025-07-09 00:02:01,google.ca,118,6.23
2025-07-09 00:02:01,google.ca,118,6.24
2025-07-09 00:02:06,8.8.8.8,118,5.94
2025-07-09 00:02:06,8.8.8.8,118,6.47
2025-07-09 00:02:06,google.ca,118,6.15
2025-07-09 00:02:06,google.ca,118,6.02
2025-07-09 00:02:11,8.8.8.8,118,6.26
2025-07-09 00:02:11,8.8.8.8,118,6.12
2025-07-09 00:02:11,google.ca,118,5.38
2025-07-09 00:02:11,google.ca,118,6.14
2025-07-09 00:02:16,8.8.8.8,118,6.15
2025-07-09 00:02:16,8.8.8.8,118,6.4
2025-07-09 00:02:16,google.ca,118,5.94
